station_code,name,lat,lon,type,nearest_town,warning_level,danger_level,frl,mwl,highest_flow_level
001-CDBNG,Shimoga,13.926944444444445,75.585,Base,,566.7,567.25,,,570.18
001-CDJPR,Dhareri,23.1475,75.50833333333334,Base,"",478.5,479.5,,,482.62
001-CHEJMU,Khanabal,33.763888888888886,75.1275,Base,Khanabal,1591.2,1592.5,,,1595.43
001-DDASL,Tilaiya Reservoir,24.32,85.52,Inflow,"",,,372.475,371.465,372.28
001-ERDBWN,Balimundali,21.733888888888888,86.63333333333334,Base,,,,,,43.1
001-HGDDDN,Badrinath,30.748333333333335,79.49583333333334,Base,,3112.0,3113.0,,,3112.7
001-HYDCHENNAI,Chennur,14.572222222222223,78.8,Base,"",121.875,122.875,,,123.375
001-LBDJPG,Mathanguri,26.782777777777778,90.95666666666666,Level,,98.1,99.1,,,100.28
001-LGD3BEH,BEDEPARA,24.139166666666664,88.69694444444445,Base,,,,,,17.885
001-LGDHYD,Somanpally(Seasonal),18.616666666666667,79.8,Base,,,,,,129.02
001-LKDHYD,Almatti Reservoir,16.33,75.88,Inflow,"",,,519.6,519.6,
001-LYDAGRA,AGRA (J.B.),27.203888888888887,78.035,Level,Agra,151.4,152.4,,,154.76
001-MAHGAND,Chakaliya,23.051944444444445,74.31972222222223,Base,"",223.5,225.0,,,230.2
001-MBDGHY,Guwahati(D.C.Court),26.19472222222222,91.74305555555556,Level,Guwahati,48.68,49.68,,,51.46
001-MDBURLA,Mahulpali,21.866388888888892,84.38,Base,,,,,,253.18
001-MDSIL,KUMARGHAT GD SITE,24.17527777777778,92.02361111111111,Base,,29.0,30.0,,,32.97
001-MGD1LKN,Colonelganj,27.125,81.66333333333334,Base,"",104.0,105.0,,,105.28
001-MGD2LKN,NARORA Barrage,28.189444444444444,78.39611111111111,Inflow,"",,,179.07,181.34,
001-MGD3VNS,Azamgarh,26.05,83.18333333333334,Level,Azamgarh,73.88,74.88,,,75.0
001-MGD4PTN,Chanpatia,26.960277777777776,84.53555555555555,Base,"",72.68,73.68,,,76.68
001-MGD5PTN,Buxar,25.579722222222223,83.97666666666667,Level,"",59.32,60.32,,,62.09
001-MIDSHL,Dawki,25.189722222222223,92.01861111111111,Base,"",,,,,73.0
001-NDBHP,Mukki,22.14938888888889,80.66561111111112,Base,"",542.0,543.5,,,542.78
001-NEID2,Tuichang,23.034444444444446,92.96527777777779,Base,Hnathiyal,,,,,
001-SHDSIM,TITANG,31.764388888888888,78.63636111111111,Base,poo,,,,,2456.74
001-SRDCBE,Avarankuppam,12.684166666666666,78.53944444444444,Base,"",367.21,368.21,,365.755,368.82
001-SWRDKOCHI,ERINJIPUZHA,12.495833333333332,75.15694444444445,Base,"",18.03,19.03,,,19.08
001-TDSURAT,BODELI,22.265,73.72722222222222,Base,,76.0,76.8,,,80.9
001-UBDDIB,Kibithu,28.25722222222222,97.02583333333334,Base,"",1228.25,1229.25,,,1230.26
001-UKDPUNE,Karad,17.29361111111111,74.19,Base,Karad,563.41,567.04,,,567.162
001-UYDDEL,Naugaon,30.791666666666668,78.13805555555557,Base,"",1059.5,1060.5,,,1060.4
001-WGDNGP,Keolari,22.38138888888889,79.89972222222222,Base,"",,,,,443.03
0010-LYDAGRA,SAHIJINA,25.94472222222222,80.15333333333334,Level,Hamirpur,103.54,104.54,,,108.95
0010NEID3,Chimpu,27.066666666666666,93.60027777777778,Base,,,,,,
0013NEID3,Mechuka,28.600555555555555,94.1463888888889,Base,,1909.0,1910.0,,,1908.87
001BOBO-INFLOW,Tuirial Dam_NEEPCO,24.35638888888889,92.88666666666667,Inflow,,,,90.5,95.2,90.5
001NEID1,"Myndu Stage II, Dam Site",25.22027777817503,92.22583333298152,Base,"",,,,,
001NEID3,Rho Basti,27.622777777777777,92.01361111111112,Base,,,,,,
002-CDBNG,Honnali,14.237222222222222,75.66250000000001,Base,,544.2,544.75,,,546.47
002-CDJAPR,Tal,23.72138888888889,75.34444444444443,Base,"",441.0,443.0,,,438.12
002-DDASL,Haripur,24.31138888888889,87.08694444444444,Base,"",,,,,137.1
002-ERDBWN,Chandanpur,22.16611111111111,86.57138888888889,Base,,,,,,88.4
002-HGDDDN,Joshimath,30.566944444444445,79.55333333333333,Base,"",1382.0,1383.0,,,1388.65
002-HYDCHENNAI,Nellore CWC,14.470277777777778,79.9888888888889,Level,"",15.91,17.28,,,18.7
002-JHELUM,Sangam,33.83305555555556,75.06672222222223,Level,"",1591.2,1592.42,,,1595.37
002-LBDJPG,Beki Road bridge,26.494133333333334,90.91789722222222,Level,"",44.1,45.1,,,46.2
002-LGD3BEH,BISWANATHPUR,24.4575,88.1375,Base,,19.24,20.94,,,22.79
002-LGDHYD,Kaleswaram,18.82,79.91000000000001,Level,"",103.5,104.75,,,108.19
002-LKDHYD,Narayanapur Reservoir,16.2,76.36,Inflow,Bijapur,,,492.25,492.25,
002-LYDAGRA,ETAWAH,26.749722222222225,78.98333333333333,Level,Etawah,120.92,121.92,,,126.13
002-MAHGAND,Anas PH-II,23.353611111111114,74.23361111111112,Base,"",145.0,146.0,,,160.0
002-MBDGHY,Goalpara,26.184722222222224,90.63388888888889,Level,Goalpara,35.27,36.27,,,37.43
002-MDBURLA,Parmanpur,21.789444444444445,84.1061111111111,Base,,,,,,217.06
002-MDSIL,KAMALPUR,24.193055555555556,91.83583333333333,Base,KAMALPUR,31.5,32.5,,,33.85
002-MGD1LKN,Gaighat,27.988055555555558,81.43305555555555,Base,"",129.54,130.54,,,132.45
002-MGD2LKN,Kachhla Bridge,27.931944444444447,78.8625,Level,"",161.8,162.4,,,163.02
002-MGD3VNS,Phaphamau,25.504166666666666,81.86333333333333,Level,Allahabad,83.734,84.734,,74.95,87.98
002-MGD4PTN,Lalbegiaghat,26.65861111111111,85.01388888888889,Level,motihari,62.2,63.2,,,67.09
002-MGD5PTN,Dighaghat,25.647777777777776,85.06527777777778,Level,"",49.45,50.45,,,52.52
002-MIDSHL,Kharkhana,25.158055555555553,92.21083333333334,Base,"",,,,,47.17
002-NDBHP,Bamni,22.485,80.37638888888888,Base,,446.5,447.5,,,448.5
002-NEID2,Tuichawng,22.915277777777778,92.52805555555555,Base,"",,,,,
002-SHDSIM(A),MOORANG,31.605833333333333,78.43611111111112,Base,,,,,,2272.5
002-SRDCBE,GUMMANUR,12.555000000000001,78.13833333333334,Base,"",494.0,495.0,,,495.7
002-SWRDKOCHI,PERUMANNU,11.9823,75.58415833333333,Base,"",17.2,18.2,,,18.28
002-TDSURAT,RAJPIPLA,21.87777777777778,73.46611111111112,Base,,25.96,26.8,,,30.3
002-UBDDIB,Tuting,28.995,94.88694444444445,Base,TUTING,440.0,441.0,,,435.95
002-UKDPUNE,Warunji,17.272777777777776,74.16472222222222,Base,"",562.8,565.2,,,568.047
002-WGDNGP,Kumhari,21.884444444444444,80.17527777777778,Base,Balaghat,,,,,308.0
0022-CDJAIPUR,Bisalpur Reservoir,25.92,75.45,Inflow,Tonk,,,315.5,316.345,
0024-SRDCWC,Mettur Reservoir,11.8,77.8,Inflow,Mettur,,,240.79,242.62,
0024-SWRDKOCHI,Idukki (Eb)/Idukki Arch Reservoir,9.84,76.97,Inflow,,,,732.43,,
0025-SRDCWC,Bhavani Sagar Dam,11.47,77.1,Inflow,Bhavanisagar,,,278.892,280.42,
0025-SWRDKOCHI,Idamalayar Reservoir,10.22,76.7,Inflow,,,,169.0,,
0026-MGD3VNS,Bansagar Dam_1,24.191666666666666,81.2875,Inflow,Shahdol,,,341.64,342.934,
0026-SRDCBE,Grand Anicut,10.83,78.81888888888888,Inflow,Thanjavur,,,59.21,59.21,
0029-LKDHYD,DR KLRS Pulichintala Dam,16.75,80.05,Inflow,"",,,53.34,,
0029-SRDCBE,Manimuthar Dam,8.653333333333334,77.41375000000001,Inflow,,,,109.12,112.165,
002NEID1,Myntdu Stage-II power house,25.156666666315516,92.21749999991997,Base,"",,,,,
002NEID3,Murga Bridge,27.61388888888889,92.02638888888889,Base,,,,,,
003-CDBNG,Haralahalli,14.830555555555556,75.67444444444445,Base,,514.0,514.5,,,518.346
003-DDASL,Barkisuriya,24.221944444444443,85.90111111111112,Base,"",288.4,289.4,,,292.32
003-ERDBWN,Jeypore,21.609166666666667,86.68333333333334,Base,"",25.17,26.17,,,27.4
003-HGDDDN,Nandkeshri,30.039166666666667,79.56638888888888,Base,"",1267.0,1268.0,,,1267.4
003-HYDCHENNAI,Nandipalli,14.721111111111112,79.01888888888888,Base,"",100.93,101.93,,,102.43
003-LBDJPG,PANBARI,26.58833333333333,90.82916666666667,Base,"",,,,,55.96
003-LGD3BEH,CS 97 A GANGA FARAKKA,24.790833333333335,87.93666666666667,Base,,21.25,22.25,,,25.13
003-LGDHYD,Nowrangpur,19.1975,82.51194444444444,Base,Nowrangpur,555.75,557.75,,,559.33
003-LKDHYD,Huvinhedigi,16.490277777777777,76.92305555555556,Base,"",355.24,356.24,,,358.35
003-LYDAGRA,DHOLPUR,26.659444444444443,77.90305555555557,Level,Dholpur,129.79,130.79,,,146.57
003-MAHGAND,Dhariawad,24.086388888888887,74.47555555555556,Base,"",205.0,206.0,,,210.06
003-MBDGHY,Matunga,26.791405555555556,91.53582222222222,Base,"",,,,,168.18
003-MDBURLA,Manendragarh,23.20138888888889,82.21444444444445,Base,,,,,,420.86
003-MDSIL,NUTANBAZAR GD SITE,24.41861111111111,92.17055555555557,Base,Dharmanagar,18.5,19.5,,,20.66
003-MGD1LKN,Kakardhari,27.89527777777778,81.77444444444444,Level,"",130.0,131.0,,,132.37
003-MGD2LKN,Fatehgarh,27.40138888888889,79.62305555555555,Level,"",136.6,137.6,,,138.14
003-MGD3VNS,Allahabad,25.403055555555554,81.9113888888889,Level,Allahabad,83.734,84.734,,71.01,88.03
003-MGD4PTN,Ahirwalia,26.415277777777778,85.06611111111111,Level,"",58.62,59.62,,,61.17
003-MGD5PTN,Gandhighat,25.623333333333335,85.17111111111112,Level,"",47.6,48.6,,,50.52
003-NDBHP,Mohgaon,22.765805555555556,80.62330555555555,Base,"",463.0,464.5,,,467.3
003-NEID2,Sihthangpui,22.42361111111111,92.94269444444444,Base,"",,,,,
003-SHDSIM,NATHPA,31.566111111111113,77.96555555555555,Base,,,,,,1451.0
003-SRDCBE,KUDLUR,11.840555555555556,77.46277777777777,Base,Chamarajnagar,437.0,438.0,,,440.1
003-SWRDKOCHI,MUTHANKERA,11.808055555555557,76.08416666666666,Level,,710.3,711.25,,,713.89
003-TDSURAT,Garudeshwar,21.89,73.65,Level,"",30.48,31.09,,,41.645
